full_id,name,shop,lon,lat
n2010136358,三省堂書店,books,139.7720,35.6983
n2010539504,セブン-イレブン,convenience,139.7741,35.6996
n2008867710,auショップ,mobile_phone,139.8163,35.7005
n2008894973,auショップ,mobile_phone,139.7991,35.6948
n1916512013,ツクモ,computer,139.7703,35.7009
n1916515190,ショップインバース,computer,139.7704,35.7011
n1916475992,Can☆Do,variety_store,139.7703,35.7006
n1916479765,MiS,video,139.7705,35.7007
n1916473214,Hard off,second_hand,139.7705,35.7005
n1916473215,TOEI LAND,radiotechnics,139.7703,35.7004
n1915359984,あきばおーこく,anime,139.7703,35.7003
n1916473212,秋葉原買取センター,computer,139.7705,35.7005
n1916532694,MODE OFF,clothes,139.7706,35.7021
n1916533272,MOQ,computer,139.7704,35.7021
n1916532142,アキバ特区,radiotechnics,139.7703,35.702
n1916532537,カミカゼスタイル,clothes,139.7698,35.702
n1916532140,FRESHreFRESH,massage,139.7703,35.70204
n1916532141,セルスタ・R,computer,139.7704,35.70203
n1916515191,ジーエフ・トップ,computer,139.7703,35.70104
n1916552117,ファミリーマート,convenience,139.7530,35.6647
n1918381956,ローソン,convenience,139.7793,35.6791
n1916536732,アキバパレットタウン,computer,139.7706,35.7024
n1916536734,R Garden,computer,139.7706,35.7026
n1916536729,U&J Mac's,computer,139.7705,35.7025
n1916536730,プレミアステージ,computer,139.7706,35.7022
n1916533273,GF II,computer,139.7704,35.7021
n1916533274,トゥインクルモバイル,mobile_phone,139.7704,35.7022
n1924551819,セブン-イレブン,convenience,139.7964,35.7105
n1924560017,セブン-イレブン,convenience,139.7935,35.7094
n1923228943,セブン-イレブン,convenience,139.7879,35.7101
n1923233030,MINI STOP,convenience,139.7879,35.7085
n1921468503,ミニストップ,convenience,139.7554,35.6689
n1922951583,Ozeki,supermarket,139.7952,35.7107
n1918381957,セブン-イレブン,convenience,139.7794,35.68
n1918508769,,laundry,139.7891,35.7025
n1925677649,セブン-イレブン,convenience,139.7873,35.69854
n1925687087,セブン-イレブン,convenience,139.7854,35.7015
n1924740344,Coin Laundry Asakusa-bashi,laundry,139.7806,35.6997
n1925666774,セブン-イレブン,convenience,139.7884,35.7009
n1924582862,セブン-イレブン,convenience,139.7923,35.7046
n1924592640,セブン-イレブン,convenience,139.8017,35.7086
n1924565863,セブン-イレブン,convenience,139.7908,35.7079
n1924574255,セブン-イレブン,convenience,139.7937,35.7058
n1927476960,セブン-イレブン,convenience,139.7923,35.694
n1927495320,セブン-イレブン,convenience,139.7952,35.6913
n1927441640,セブン-イレブン,convenience,139.7973,35.6954
n1927457510,セブン-イレブン,convenience,139.7943,35.6942
n1926391975,ローソン,convenience,139.7566,35.6497
n1926727776,セブン-イレブン,convenience,139.7454,35.6628
n1925714802,セブン-イレブン,convenience,139.7823,35.7079
n1925754273,セブン-イレブン,convenience,139.7859,35.71051
n1928508811,セブン-イレブン,convenience,139.7412,35.6963
n1928517043,セブン-イレブン,convenience,139.7509,35.6957
n1928500209,セブン-イレブン,convenience,139.7415,35.6924
n1928504402,セブン-イレブン,convenience,139.7435,35.6921
n1928241135,Lawson,convenience,139.7801,35.707
n1928489012,セブン-イレブン,convenience,139.7386,35.692
n1928227976,肉のハナマサ,supermarket,139.7846,35.7065
n1928240080,ファミリーマート,convenience,139.7812,35.7072
n1929707639,サンクス,convenience,139.7373,35.6916
n1930122242,ファミリーマート,convenience,139.7956,35.7084
n1928747758,セブン-イレブン,convenience,139.7383,35.6832
n1928768490,セブン-イレブン,convenience,139.7464,35.6979
n1928737732,セブン-イレブン,convenience,139.7365,35.6862
n1928742198,セブン-イレブン,convenience,139.7366,35.6837
n1928524481,セブン-イレブン,convenience,139.7317,35.6848
n1928725912,セブン-イレブン,convenience,139.7335,35.6853
n1892475719,ファミリーマート,convenience,139.7887,35.6856
n1892480893,ソフトバンクショップ,mobile_phone,139.7864,35.685
n1891441437,ソフトバンクショップ,mobile_phone,139.7717,35.668
n1891598428,hairsalon INAGAKI,hairdresser,139.7456,35.6482
n1891432788,ソフトバンクショップ,mobile_phone,139.7641,35.6706
n1891436884,ソフトバンクショップ,mobile_phone,139.7715,35.681
n1891223992,ソフトバンクショップ,mobile_phone,139.7779,35.70761
n1891228025,ソフトバンクショップ,mobile_phone,139.7728,35.7082
n1894046516,MINEO'N,hairdresser,139.7276,35.6599
n1894053233,ローソン,convenience,139.7276,35.6595
n1894039093,温古堂,stationery,139.7277,35.66
n1894046515,AVEDA,beauty,139.7276,35.6598
n1894012988,鈴酒,alcohol,139.7282,35.6604
n1894035631,フラワー 華実,florist,139.7278,35.6602
n1892534950,セブン-イレブン,convenience,139.7819,35.6752
n1894010183,靴専科,shoes,139.7277,35.6609
n1894197568,セブン-イレブン,convenience,139.8049,35.6672
n1894458896,セブン-イレブン,convenience,139.7604,35.6711
n1894070074,Quelle,hairdresser,139.7276,35.6583
n1894197567,イトーヨーカ堂,supermarket,139.8042,35.66583
n1894070049,はぴぱん,deli,139.7275,35.6591
n1894070071,朝屋酒店,alcohol,139.7276,35.6585
n1894055226,HUGO BOSS,clothes,139.7279,35.6592
n1894070043,,tobacco,139.7276,35.6593
n1914973973,,lottery,139.7726,35.6986
n1915000040,ヤマダ電機LABI,computer,139.7722,35.698
n1911190931,ポプラ,convenience,139.7332,35.6851
n1914950013,NEW DAYS,convenience,139.7721,35.6985
n1897440361,ローソン,convenience,139.7408,35.6785
n1900555598,Tam Tam,model,139.7714,35.7031
n1894528065,ローソン,convenience,139.7668,35.6682
n1897436747,はこねフローリスト,florist,139.7391,35.6809
n1915112158,AKKY ONE,gift,139.7714,35.69792
n1915112159,九州電気,radiotechnics,139.7714,35.6984
n1915016879,リバティ,anime,139.7722,35.6976
n1915112157,MEDIA LAND,anime,139.7714,35.6983
n1915008596,pop life department. m's,erotic,139.7724,35.6977
n1915016878,ASOBIT CITY,anime,139.7716,35.6977
n1915000041,わくわく太郎のよろず箱,gift,139.7724,35.6978
n1915008595,auショップ,mobile_phone,139.7724,35.6977
n1915185155,HAMADA,computer,139.7704,35.6987
n1915189421,ヴイストンロボットセンター,electronics,139.7704,35.6987
n1915175462,オノデン,electronics,139.7709,35.6982
n1915183133,東京ラジオデパート,radiotechnics,139.7708,35.6987
n1915175459,エディオンAKIBA,electronics,139.7709,35.6979
n1915175460,LAOX,electronics,139.7709,35.6981
n1915112163,ラジオセンター,radiotechnics,139.7715,35.6985
n1915112165,ラムタラ,anime,139.7714,35.6978
n1915264895,花太郎,video,139.7704,35.6991
n1915268185,KOTOBUKIYA,toys,139.7704,35.6992
n1915234623,TSUKUMO,mobile_phone,139.7704,35.6989
n1915238401,あきばおー,computer,139.7705,35.69907
n1915227170,らしんばん,hobby,139.7704,35.6988
n1915227192,BEAT-ON,computer,139.7706,35.6988
